Obs,State,Date,Total Deposits,Total Assets
496,Massachusetts,12/31/2019,317440.0,404062.0
497,Massachusetts,12/31/2020,398778.0,494858.0
498,Massachusetts,12/31/2021,417253.0,495291.0
499,Massachusetts,12/31/2022,399632.0,490076.0
500,Massachusetts,12/31/2023,384384.0,491954.0
501,Massachusetts,12/31/2024,428845.0,551106.0
502,Michigan,03/31/2019,45124.0,57141.0
503,Michigan,03/31/2020,29312.0,36859.0
504,Michigan,03/31/2021,38847.0,46764.0
505,Michigan,03/31/2022,42238.0,49907.0
506,Michigan,03/31/2023,40557.0,48550.0
507,Michigan,03/31/2024,42172.0,51362.0
508,Michigan,06/30/2019,45134.0,58370.0
509,Michigan,06/30/2020,33933.0,42426.0
510,Michigan,06/30/2021,39839.0,47775.0
511,Michigan,06/30/2022,39833.0,46820.0
512,Michigan,06/30/2023,40770.0,49449.0
513,Michigan,06/30/2024,42631.0,51937.0
514,Michigan,09/30/2019,29154.0,35826.0
515,Michigan,09/30/2020,35541.0,43774.0
516,Michigan,09/30/2021,40079.0,47984.0
517,Michigan,09/30/2022,41000.0,48078.0
518,Michigan,09/30/2023,41952.0,50485.0
519,Michigan,09/30/2024,44550.0,53714.0
520,Michigan,12/31/2019,28900.0,35865.0
521,Michigan,12/31/2020,36258.0,44215.0
522,Michigan,12/31/2021,41736.0,49956.0
523,Michigan,12/31/2022,40518.0,48012.0
524,Michigan,12/31/2023,41537.0,50575.0
525,Michigan,12/31/2024,41814.0,50452.0
526,Minnesota,03/31/2019,36879.0,43334.0
527,Minnesota,03/31/2020,38371.0,45691.0
528,Minnesota,03/31/2021,49287.0,56893.0
529,Minnesota,03/31/2022,52450.0,59140.0
530,Minnesota,03/31/2023,51467.0,60549.0
531,Minnesota,03/31/2024,53175.0,63460.0
532,Minnesota,06/30/2019,36990.0,44033.0
533,Minnesota,06/30/2020,43856.0,51749.0
534,Minnesota,06/30/2021,49518.0,56757.0
535,Minnesota,06/30/2022,52188.0,59515.0
536,Minnesota,06/30/2023,51235.0,61381.0
537,Minnesota,06/30/2024,53308.0,63875.0
538,Minnesota,09/30/2019,37812.0,44712.0
539,Minnesota,09/30/2020,44967.0,53063.0
540,Minnesota,09/30/2021,50385.0,57740.0
541,Minnesota,09/30/2022,52238.0,59562.0
542,Minnesota,09/30/2023,52144.0,61797.0
543,Minnesota,09/30/2024,54679.0,64979.0
544,Minnesota,12/31/2019,38247.0,45083.0
545,Minnesota,12/31/2020,46667.0,54433.0
