Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
49,California,03/31/2007,28816.0,59.84,11.29,57.17,9.7,133.0,123.0,60.0,98.71,87.0,230161.0,166532.0,163673.0,12.28
50,California,06/30/2007,28958.0,59.57,9.52,56.25,9.76,221.0,556.0,130.0,103.02,203.0,229604.0,165211.0,162419.0,12.45
51,California,09/30/2007,28769.0,57.61,9.5,55.79,9.76,317.0,1229.0,88.0,146.02,363.0,230449.0,164507.0,162436.0,12.68
52,California,12/31/2007,28948.0,56.27,9.61,56.21,9.49,503.0,1290.0,150.0,137.48,816.0,236167.0,165366.0,167398.0,12.45
53,California,03/31/2008,28378.0,56.14,9.73,57.12,9.27,248.0,-103.0,194.0,85.34,479.0,237269.0,165346.0,169896.0,12.3
54,California,06/30/2008,27663.0,56.59,9.89,56.94,9.24,747.0,-624.0,271.0,71.86,1277.0,240748.0,167472.0,174022.0,12.27
55,California,09/30/2008,28208.0,57.81,9.98,56.46,9.37,1402.0,-533.0,433.0,72.12,2077.0,244247.0,171277.0,178801.0,12.46
56,California,12/31/2008,29398.0,57.69,9.93,55.59,9.51,2264.0,-1079.0,662.0,70.3,3551.0,253314.0,175872.0,179668.0,12.83
57,California,03/31/2009,29817.0,58.9,10.12,55.81,9.56,786.0,-249.0,850.0,62.42,1298.0,253076.0,180187.0,177180.0,13.03
58,California,06/30/2009,29074.0,60.85,10.61,56.35,9.17,2297.0,-1149.0,1057.0,59.13,3202.0,247799.0,181231.0,174634.0,12.65
59,California,09/30/2009,28466.0,61.88,10.42,55.63,9.08,3257.0,-2168.0,1236.0,56.25,4465.0,247084.0,182943.0,170202.0,12.97
60,California,12/31/2009,28521.0,65.18,10.87,55.46,9.59,3784.0,-1185.0,1194.0,58.05,5194.0,236448.0,180109.0,163060.0,13.97
61,California,03/31/2010,30162.0,73.22,10.78,54.01,10.08,806.0,-7.0,1246.0,62.78,951.0,236163.0,180879.0,157286.0,15.07
62,California,06/30/2010,30641.0,73.9,10.91,53.54,10.24,1511.0,75.0,1338.0,65.0,1615.0,234707.0,176193.0,155560.0,15.52
63,California,09/30/2010,33604.0,76.66,14.87,55.58,10.59,2147.0,471.0,1358.0,65.25,2180.0,255034.0,196429.0,173026.0,15.91
64,California,12/31/2010,33631.0,78.14,14.91,56.02,10.65,2843.0,755.0,1332.0,69.89,2784.0,255047.0,198739.0,173136.0,16.1
65,California,03/31/2011,34150.0,79.01,14.57,56.28,10.77,369.0,522.0,1329.0,69.59,326.0,258949.0,203410.0,172008.0,16.3
66,California,06/30/2011,34875.0,78.58,14.6,56.29,10.98,821.0,1146.0,1274.0,68.95,596.0,260885.0,204699.0,172747.0,16.38
67,California,09/30/2011,35767.0,78.55,14.62,55.21,11.02,1130.0,1835.0,1225.0,76.34,815.0,267665.0,209514.0,174564.0,16.49
68,California,12/31/2011,36117.0,79.26,14.9,55.83,10.87,1471.0,2488.0,1145.0,81.62,1035.0,271573.0,213512.0,179196.0,16.2
69,California,03/31/2012,36566.0,79.75,14.84,55.26,11.0,192.0,724.0,1094.0,86.11,157.0,275466.0,216950.0,179964.0,16.45
70,California,06/30/2012,37270.0,80.36,15.21,55.18,11.09,446.0,1560.0,982.0,96.05,334.0,278683.0,220667.0,184709.0,16.32
71,California,09/30/2012,38003.0,80.8,15.35,54.99,11.09,628.0,2371.0,845.0,100.3,461.0,283092.0,224293.0,188277.0,16.36
72,California,12/31/2012,38314.0,81.77,15.35,54.99,10.98,816.0,3161.0,732.0,103.23,581.0,290332.0,232172.0,193591.0,16.06
